Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Emptying,74.3,31.1,9.0,83.0,56.4,89.8,33.2,BIM-3 FTI bottentomd,Recyclable
Emptying,89.3,44.1,9.0,91.2,64.2,88.3,50.3,Malmobehallare,Recyclable
Emptying,85.4,35.7,8.0,82.9,20.3,81.7,38.1,Lindstrom City,Mixed
Emptying,95.4,50.6,6.0,92.8,30.0,96.1,51.9,Silvertop-b,Mixed
Emptying,75.1,42.6,6.0,97.7,35.3,83.3,50.4,Lindstrom-a,Mixed
Non Emptying,50.4,30.7,4.0,76.0,60.9,60.9,56.8,Silvertop-b,Mixed
Emptying,91.0,22.9,7.0,84.0,43.7,91.4,30.2,Rectangular Farmland,Mixed
Emptying,81.7,37.1,7.0,81.1,36.9,93.5,16.9,Accordion,Mixed
Non Emptying,51.4,53.4,1.0,64.2,25.3,39.1,30.9,Lindstrom City,Recyclable
Non Emptying,30.8,38.2,1.0,61.5,52.6,59.9,52.5,Fiberglass Igloo-b,Non Recyclable
Non Emptying,54.9,55.1,3.0,60.9,22.0,63.5,34.8,Diamond,Non Recyclable
Emptying,78.6,53.2,9.0,65.8,38.8,84.1,60.8,Malmobehallare,Non Recyclable
Emptying,68.7,52.1,6.0,82.1,41.3,90.4,44.2,Silvertop-b,Mixed
Non Emptying,51.1,25.6,2.0,57.6,56.6,70.5,60.9,Lindstrom-a,Non Recyclable
Non Emptying,37.2,32.0,5.0,68.3,22.3,61.8,31.4,Lindstrom City,Recyclable
Emptying,98.7,59.3,9.0,60.3,58.3,217.4,33.0,Accordion,Recyclable
Emptying,78.4,39.2,6.0,99.1,69.4,94.4,47.5,Lindstrom-a,Non Recyclable
Non Emptying,51.8,24.3,3.0,51.4,31.2,62.8,31.2,Cubic,Non Recyclable
Non Emptying,55.3,37.4,4.0,34.0,50.4,68.1,38.8,Lindstrom-a,Mixed
Emptying,95.9,21.2,6.0,71.9,62.7,69.5,42.8,Silvertop-a,Non Recyclable
Non Emptying,32.8,62.8,3.0,69.6,28.2,67.7,53.2,Silvertop-b,Mixed
Non Emptying,57.0,37.9,3.0,34.1,27.7,73.6,32.2,Rectangular Farmland,Mixed
Emptying,80.5,44.6,9.0,79.4,44.0,71.8,37.5,Accordion,Recyclable
Non Emptying,39.0,58.3,5.0,50.3,33.8,51.1,28.0,Cubic,Non Recyclable
Emptying,150.0,33.9,7.0,83.2,33.6,80.7,20.1,Accordion,Mixed
Non Emptying,30.7,36.1,2.0,32.0,24.7,31.6,25.9,Lindstrom City,Recyclable
Emptying,91.8,44.9,7.0,154.6,68.1,85.9,40.6,Malmobehallare,Recyclable
Non Emptying,56.5,55.0,2.0,77.2,56.7,30.1,53.5,Rectangular,Recyclable
Emptying,94.8,39.6,6.0,74.3,53.8,81.7,34.1,Fiberglass Igloo-b,Non Recyclable
Emptying,64.0,44.6,7.0,88.9,56.2,97.0,60.6,Cubic,Non Recyclable
Non Emptying,94.1,57.3,6.0,147.9,21.0,82.6,41.9,Lindstrom-b,Mixed
Non Emptying,80.4,40.5,7.0,83.1,51.8,92.2,39.5,Diamond,Recyclable
Emptying,81.0,53.1,6.0,79.1,,84.4,63.2,Cubic,Mixed
Non Emptying,78.9,54.5,4.0,59.7,67.2,75.0,33.1,Rectangular,Non Recyclable
Non Emptying,35.4,27.5,4.0,55.5,53.9,50.1,62.3,Rectangular Farmland,Non Recyclable
Non Emptying,37.9,51.6,5.0,36.6,37.1,51.2,22.4,Malmobehallare,Non Recyclable
Non Emptying,63.4,52.7,2.0,57.2,31.7,72.7,22.4,Silvertop-a,Mixed
Non Emptying,33.8,37.0,4.0,77.5,22.2,53.7,51.2,Fiberglass Igloo-b,Recyclable
Emptying,63.4,24.8,9.0,95.9,52.9,96.0,50.9,Lindstrom City,Recyclable
Emptying,155.0,68.3,7.0,83.2,24.6,83.5,43.5,Fiberglass Igloo-a,Non Recyclable
Non Emptying,55.1,32.1,2.0,64.5,37.9,74.3,28.5,Silvertop-a,Non Recyclable
Emptying,83.7,30.0,6.0,89.3,42.3,97.9,34.2,Lindstrom City,Mixed
Non Emptying,69.7,56.0,3.0,63.3,37.1,33.4,32.7,Fiberglass Igloo-b,Non Recyclable
Emptying,88.2,41.5,7.0,76.8,40.6,95.3,53.3,Silvertop-a,Recyclable
Non Emptying,73.1,61.6,4.0,70.3,26.6,53.6,64.0,Fiberglass Igloo-b,Mixed
Emptying,85.5,59.4,6.0,95.7,53.4,81.8,55.1,Rectangular,Non Recyclable
Non Emptying,51.3,51.7,1.0,51.7,53.3,74.3,35.0,Fiberglass Igloo-b,Mixed
Non Emptying,60.3,30.7,5.0,30.2,51.1,56.8,51.7,Accordion,Non Recyclable
Emptying,78.1,45.8,7.0,88.9,55.4,80.2,52.1,Fiberglass Igloo-a,Mixed
Non Emptying,36.3,50.3,2.0,50.5,52.7,54.2,64.9,Silvertop-b,Non Recyclable
Non Emptying,68.5,66.9,4.0,61.8,54.3,,31.9,Silvertop-a,Non Recyclable
Emptying,62.2,21.7,7.0,83.8,54.0,62.6,58.2,Rectangular Farmland,Non Recyclable
Non Emptying,61.6,23.1,4.0,52.2,30.7,64.1,28.1,Diamond,Non Recyclable
Emptying,83.4,68.0,6.0,88.2,57.5,174.3,45.9,Cubic,Mixed
Emptying,81.1,67.0,6.0,97.9,42.7,85.1,42.4,Fiberglass Igloo-b,Recyclable
Non Emptying,52.0,54.1,2.0,55.6,31.9,54.0,66.0,BIM-3 FTI bottentomd,Recyclable
Non Emptying,66.1,34.4,4.0,59.2,66.7,55.9,55.8,Rectangular,Recyclable
Non Emptying,34.1,55.7,1.0,57.8,51.7,68.1,63.8,Lindstrom City,Mixed
Non Emptying,76.1,62.4,5.0,30.3,36.5,63.3,58.3,Rectangular Farmland,Recyclable
Non Emptying,62.3,54.0,5.0,62.7,35.6,31.5,37.9,Cubic,Recyclable
Emptying,91.1,66.6,6.0,93.9,55.8,78.7,31.0,Fiberglass Igloo-a,Non Recyclable
Non Emptying,56.0,22.6,1.0,67.9,61.5,36.2,35.3,Lindstrom City,Non Recyclable
Non Emptying,53.6,37.7,5.0,64.7,58.9,72.1,30.6,Accordion,Non Recyclable
Emptying,60.5,42.6,7.0,94.4,56.3,83.4,44.5,Lindstrom-b,Non Recyclable
Non Emptying,51.8,57.8,3.0,66.9,32.8,70.5,38.8,Lindstrom-a,Recyclable
Non Emptying,70.2,55.5,1.0,74.2,51.4,63.7,56.0,Fiberglass Igloo-b,Recyclable
Emptying,90.5,49.8,6.0,80.7,41.1,85.1,43.2,Diamond,Non Recyclable
Emptying,89.7,52.5,8.0,70.7,69.5,82.8,49.4,Silvertop-a,Non Recyclable
Non Emptying,56.5,53.8,3.0,64.2,56.0,62.3,55.7,Rectangular Farmland,Mixed
Emptying,82.1,61.8,6.0,82.7,23.9,90.8,31.1,Fiberglass Igloo-a,Mixed
Non Emptying,89.5,64.2,6.0,81.0,60.3,71.0,42.8,Cubic,Mixed
Emptying,71.3,51.6,6.0,62.6,52.8,90.1,58.7,Lindstrom-a,Mixed
Emptying,98.9,52.9,8.0,87.9,50.1,,40.6,Lindstrom-a,Non Recyclable
Non Emptying,64.3,51.2,3.0,30.1,53.4,62.1,62.2,Rectangular Farmland,Recyclable
Emptying,97.2,57.7,9.0,89.0,66.7,84.2,27.5,Malmobehallare,Recyclable
Emptying,93.0,50.5,7.0,86.5,55.2,74.6,52.9,Lindstrom-b,Non Recyclable
Emptying,60.4,47.6,9.0,91.2,51.9,90.1,57.6,Lindstrom-a,Mixed
Non Emptying,31.0,35.9,2.0,67.4,36.0,51.5,36.9,Rectangular Farmland,Mixed
Non Emptying,61.8,52.8,3.0,30.8,23.7,73.9,22.3,Lindstrom-a,Recyclable
Non Emptying,62.8,35.7,3.0,55.4,34.1,,55.4,Silvertop-b,Non Recyclable
Emptying,73.7,65.9,6.0,85.6,38.8,94.1,55.1,Lindstrom City,Mixed
Emptying,73.4,52.7,7.0,82.7,,66.4,33.6,Fiberglass Igloo-b,Mixed
Emptying,94.2,41.2,6.0,86.6,39.3,73.8,52.0,Silvertop-a,Non Recyclable
Non Emptying,52.7,55.7,3.0,38.7,37.2,53.6,28.9,Lindstrom-b,Non Recyclable
Emptying,82.5,38.6,6.0,84.6,52.2,92.0,61.2,Fiberglass Igloo-a,Recyclable
Emptying,81.2,36.4,6.0,80.1,51.2,76.0,55.5,Rectangular Farmland,Mixed
Non Emptying,33.7,26.9,4.0,51.8,64.3,75.4,23.2,BIM-3 FTI bottentomd,Recyclable
Emptying,60.9,26.4,9.0,63.7,49.4,91.8,64.4,Lindstrom-b,Non Recyclable
Non Emptying,79.9,33.1,4.0,66.8,36.4,68.0,54.6,Lindstrom City,Non Recyclable
Non Emptying,73.9,55.5,1.0,50.2,23.0,55.3,50.1,Lindstrom-a,Mixed
Emptying,95.0,50.2,7.0,83.9,63.3,79.8,46.1,Lindstrom-a,Non Recyclable
Emptying,96.3,58.2,8.0,99.0,24.1,69.2,26.6,Lindstrom City,Non Recyclable
Non Emptying,74.6,50.0,1.0,62.5,22.6,53.2,24.4,Rectangular Farmland,Non Recyclable
Emptying,79.7,42.8,6.0,82.4,47.3,84.7,51.9,BIM-3 FTI bottentomd,Mixed
Emptying,93.4,64.3,9.0,83.2,41.3,70.7,37.0,Silvertop-b,Recyclable
Emptying,88.2,44.3,6.0,87.2,43.4,,31.2,Rectangular Farmland,Non Recyclable
Non Emptying,50.8,51.5,5.0,66.3,36.7,32.8,35.3,Fiberglass Igloo-a,Non Recyclable
Emptying,70.4,21.9,9.0,84.7,49.0,68.8,51.7,Lindstrom-a,Non Recyclable
Non Emptying,51.3,56.5,3.0,62.0,25.2,58.9,32.9,Cubic,Recyclable
Emptying,93.0,24.2,7.0,90.0,40.1,204.9,36.9,Diamond,Mixed
Non Emptying,72.6,66.9,1.0,52.1,52.5,72.2,58.7,Malmobehallare,Recyclable
Emptying,74.3,41.6,9.0,84.3,40.7,78.7,41.2,Lindstrom-a,Non Recyclable
Emptying,91.3,58.6,8.0,75.7,48.0,81.2,56.7,Malmobehallare,Recyclable
Emptying,70.8,23.6,7.0,83.8,,60.7,51.3,BIM-3 FTI bottentomd,Recyclable
Emptying,99.2,35.3,8.0,85.3,34.0,73.7,56.6,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,55.2,34.4,5.0,32.4,57.7,60.8,26.5,Diamond,Recyclable
Emptying,60.3,43.6,9.0,61.7,69.5,75.3,40.1,Fiberglass Igloo-b,Mixed
Emptying,93.0,34.9,7.0,62.1,47.1,80.1,20.4,Rectangular,Recyclable
Emptying,80.4,55.8,8.0,60.0,33.0,89.6,21.5,Lindstrom-a,Non Recyclable
Emptying,71.2,64.9,6.0,82.1,37.0,86.2,24.3,Lindstrom-b,Non Recyclable
Emptying,61.9,66.1,7.0,89.8,31.6,84.4,35.5,Rectangular,Non Recyclable
Emptying,75.3,63.3,9.0,70.8,27.9,85.3,64.8,Lindstrom City,Recyclable
Emptying,65.7,36.2,6.0,61.7,56.7,77.3,56.9,Silvertop-a,Non Recyclable
Emptying,85.5,59.0,7.0,72.3,65.9,87.1,34.4,Lindstrom City,Non Recyclable
Non Emptying,35.1,60.1,2.0,52.5,53.1,75.8,35.7,Lindstrom-a,Mixed
Non Emptying,57.8,28.3,1.0,35.0,30.8,32.9,38.4,Rectangular,Recyclable
Non Emptying,68.0,53.1,2.0,62.9,53.4,60.6,28.8,Lindstrom-b,Non Recyclable
Emptying,77.7,41.9,7.0,85.1,56.3,92.1,55.3,Rectangular Farmland,Non Recyclable
Non Emptying,53.3,21.0,4.0,70.7,68.4,67.0,58.1,Silvertop-a,Recyclable
Emptying,60.6,23.9,9.0,74.7,47.0,97.6,53.9,Malmobehallare,Recyclable
Non Emptying,61.3,39.1,5.0,80.7,66.3,,50.0,Lindstrom-a,Recyclable
Emptying,98.8,42.9,6.0,92.3,56.0,83.2,50.3,Fiberglass Igloo-b,Recyclable
Emptying,91.9,32.8,7.0,65.1,53.0,79.2,50.1,Fiberglass Igloo-b,Mixed
Non Emptying,56.9,32.7,2.0,38.6,24.3,51.1,51.3,Silvertop-b,Non Recyclable
Emptying,73.2,53.7,9.0,73.9,58.4,92.0,54.5,Malmobehallare,Mixed
Non Emptying,59.7,58.4,1.0,79.9,31.2,72.2,50.8,Malmobehallare,Recyclable
Emptying,85.2,57.5,9.0,89.8,43.9,68.5,51.3,Rectangular Farmland,Recyclable
Emptying,80.9,62.5,6.0,93.6,44.2,98.1,69.4,Cubic,Mixed
Non Emptying,55.3,32.6,4.0,59.1,52.7,70.7,54.9,Lindstrom-b,Non Recyclable
Non Emptying,57.7,31.5,4.0,51.1,55.7,51.2,65.9,Cubic,Recyclable
Emptying,91.7,52.3,8.0,64.7,41.8,82.7,43.5,Cubic,Non Recyclable
Non Emptying,54.7,64.1,2.0,66.1,52.0,31.7,24.8,Rectangular,Mixed
Non Emptying,58.0,30.1,1.0,51.8,54.4,56.8,61.7,Diamond,Recyclable
Non Emptying,69.8,30.2,4.0,33.5,30.4,56.0,36.3,Rectangular,Recyclable
Non Emptying,53.8,57.9,1.0,51.4,34.9,54.3,62.9,Diamond,Recyclable
Non Emptying,61.9,38.5,4.0,74.6,51.7,51.0,52.9,Rectangular,Non Recyclable
Non Emptying,63.3,50.8,1.0,37.6,55.4,37.1,54.0,Rectangular,Mixed
Non Emptying,51.1,33.4,1.0,65.6,33.0,54.0,64.9,Lindstrom-b,Non Recyclable
Emptying,84.5,64.3,7.0,90.0,52.0,99.5,51.1,Malmobehallare,Non Recyclable
Emptying,96.2,56.7,9.0,82.5,50.8,86.9,43.0,Silvertop-b,Non Recyclable
Non Emptying,51.9,23.4,5.0,52.4,55.3,67.2,31.1,Silvertop-b,Non Recyclable
Non Emptying,61.7,63.5,2.0,60.4,60.5,31.3,67.2,Fiberglass Igloo-b,Non Recyclable
Emptying,84.9,58.0,6.0,73.1,22.7,80.7,53.4,Lindstrom-a,Non Recyclable
Non Emptying,68.3,54.5,3.0,60.3,31.2,59.2,36.3,Lindstrom-a,Recyclable
Emptying,67.5,54.5,6.0,67.1,48.6,98.7,21.2,Rectangular Farmland,Recyclable
Emptying,86.5,33.1,8.0,92.0,51.6,99.7,50.3,Malmobehallare,Recyclable
Non Emptying,53.0,27.2,2.0,71.6,36.3,66.5,32.6,Rectangular,Mixed
Emptying,90.9,31.7,9.0,87.6,61.2,73.9,37.9,Rectangular,Mixed
Non Emptying,61.5,35.8,2.0,50.6,21.7,64.1,33.4,Diamond,Recyclable
Emptying,99.2,62.4,6.0,72.2,68.1,73.5,40.5,Silvertop-b,Non Recyclable
Emptying,84.0,66.1,6.0,97.8,31.9,90.3,47.5,Lindstrom-a,Recyclable
Non Emptying,75.2,51.2,4.0,64.3,20.2,60.7,36.0,Diamond,Mixed
Emptying,63.5,42.3,9.0,97.9,30.7,85.9,54.0,Lindstrom City,Recyclable
Non Emptying,56.9,35.1,3.0,57.7,61.4,77.6,53.6,Fiberglass Igloo-a,Recyclable
Non Emptying,65.7,58.5,5.0,50.8,31.7,33.1,56.9,Rectangular Farmland,Non Recyclable
Non Emptying,50.7,35.6,5.0,54.0,50.3,30.0,52.5,Silvertop-a,Non Recyclable
Emptying,91.9,58.9,8.0,80.1,42.2,88.1,42.0,Diamond,Recyclable
Emptying,85.4,44.1,8.0,86.2,40.7,84.0,59.9,Fiberglass Igloo-b,Recyclable
Emptying,93.2,46.2,7.0,69.9,62.9,86.7,31.4,Lindstrom-a,Recyclable
Emptying,60.7,29.5,6.0,84.5,24.7,84.2,40.7,Silvertop-a,Non Recyclable
Emptying,78.0,63.9,7.0,70.2,54.0,91.5,70.0,Lindstrom-a,Non Recyclable
Non Emptying,72.4,62.0,3.0,63.9,37.5,60.0,55.3,Rectangular,Non Recyclable
Non Emptying,66.0,30.0,1.0,57.1,57.2,50.0,69.0,Fiberglass Igloo-a,Mixed
Emptying,99.9,42.3,6.0,88.6,42.1,94.6,51.7,Cubic,Mixed
Non Emptying,52.9,34.9,5.0,63.2,36.3,52.4,63.7,Cubic,Non Recyclable
Non Emptying,34.3,54.1,3.0,75.8,22.3,32.9,37.6,Silvertop-a,Mixed
Emptying,192.7,24.5,7.0,99.4,42.4,82.4,59.6,Diamond,Recyclable
Emptying,86.1,43.3,8.0,94.5,32.1,81.7,63.4,Fiberglass Igloo-b,Recyclable
Non Emptying,66.3,51.9,5.0,53.9,34.6,31.9,36.0,Silvertop-a,Mixed
Non Emptying,51.2,23.3,4.0,64.5,30.8,70.1,50.1,Silvertop-a,Non Recyclable
Emptying,86.9,54.7,8.0,72.7,58.1,76.9,65.8,Diamond,Mixed
Emptying,64.7,31.5,6.0,79.6,20.4,81.4,67.6,BIM-3 FTI bottentomd,Recyclable
Emptying,83.8,51.1,5.0,70.4,66.7,97.2,48.4,Accordion,Recyclable
Emptying,84.1,24.4,8.0,96.6,43.0,82.8,44.7,Fiberglass Igloo-b,Recyclable
Emptying,90.9,69.4,6.0,68.8,54.3,67.7,51.8,Lindstrom-a,Mixed
Emptying,87.8,53.1,6.0,94.3,67.2,70.3,43.4,Lindstrom City,Non Recyclable
Non Emptying,77.4,31.3,1.0,52.7,37.4,34.5,52.2,Accordion,Recyclable
Non Emptying,38.1,65.1,3.0,39.3,58.7,52.4,54.3,Fiberglass Igloo-b,Non Recyclable
Non Emptying,31.9,31.3,2.0,64.4,32.3,65.5,53.1,Diamond,Mixed
Emptying,97.6,21.7,8.0,79.9,41.4,80.3,58.8,Fiberglass Igloo-b,Mixed
Non Emptying,59.9,35.4,3.0,60.5,51.5,67.3,57.2,Rectangular Farmland,Recyclable
Non Emptying,72.4,35.5,5.0,58.0,57.5,57.3,58.9,Rectangular,Recyclable
Non Emptying,79.1,55.2,3.0,37.5,34.8,52.5,52.7,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,60.1,65.7,3.0,69.5,33.1,34.2,54.8,Accordion,Non Recyclable
Emptying,95.7,56.5,9.0,80.0,54.6,81.4,22.0,Accordion,Non Recyclable
Emptying,74.6,55.8,9.0,64.7,63.2,86.7,46.7,Rectangular Farmland,Recyclable
Non Emptying,93.4,27.0,9.0,86.1,40.0,83.6,55.8,Accordion,Recyclable
Emptying,82.7,33.7,6.0,65.4,49.5,91.7,31.4,BIM-3 FTI bottentomd,Mixed
Non Emptying,68.3,53.5,1.0,72.5,25.5,32.4,57.3,Accordion,Non Recyclable
Non Emptying,65.6,28.0,3.0,62.8,20.1,69.2,38.5,Cubic,Non Recyclable
Emptying,74.6,49.0,7.0,61.7,51.4,74.7,53.0,Fiberglass Igloo-a,Non Recyclable
Non Emptying,65.7,50.4,2.0,54.5,52.8,59.5,51.8,Lindstrom City,Mixed
Emptying,83.2,52.5,8.0,88.0,66.9,82.9,48.5,Fiberglass Igloo-a,Recyclable
Non Emptying,77.7,20.7,2.0,73.6,56.1,60.2,30.0,BIM-3 FTI bottentomd,Mixed
Non Emptying,37.5,52.5,3.0,53.0,51.4,65.2,50.1,Silvertop-b,Mixed
Emptying,64.1,27.2,6.0,72.8,61.3,73.3,27.2,Silvertop-a,Non Recyclable
Emptying,71.1,56.8,6.0,84.4,54.0,84.4,61.5,Rectangular,Non Recyclable
Non Emptying,60.1,54.8,1.0,62.0,34.8,60.4,36.7,Silvertop-b,Mixed
Emptying,72.3,40.2,7.0,81.0,48.7,153.2,53.5,Cubic,Recyclable
Non Emptying,66.6,52.1,1.0,77.5,34.0,64.1,54.3,Lindstrom City,Non Recyclable
Non Emptying,55.0,54.0,4.0,67.3,32.7,39.8,66.6,Lindstrom-b,Mixed
Non Emptying,58.4,63.0,5.0,63.0,33.3,70.0,27.7,Silvertop-a,Recyclable
Non Emptying,73.5,56.8,5.0,53.4,61.3,76.5,32.7,Silvertop-a,Recyclable
Emptying,64.6,49.7,7.0,69.7,39.4,88.6,52.2,Lindstrom City,Non Recyclable
Non Emptying,69.9,55.9,5.0,63.9,30.9,33.3,50.3,Malmobehallare,Recyclable
Emptying,95.6,30.8,9.0,70.9,44.3,73.1,32.8,Fiberglass Igloo-a,Recyclable
Non Emptying,61.5,50.4,2.0,56.6,21.6,69.1,60.1,Lindstrom-b,Non Recyclable
Emptying,99.4,32.5,7.0,76.4,57.0,94.0,20.1,Rectangular Farmland,Recyclable
Emptying,64.3,53.1,9.0,96.9,65.4,62.7,52.3,Fiberglass Igloo-a,Recyclable
Emptying,89.7,59.2,9.0,74.8,57.8,72.4,24.3,Silvertop-b,Non Recyclable
Emptying,72.4,31.5,6.0,99.8,47.7,86.4,49.0,Lindstrom-b,Recyclable
Non Emptying,52.3,55.6,5.0,67.4,32.8,50.3,24.5,Cubic,Mixed
Non Emptying,75.8,34.3,3.0,36.3,51.9,53.5,30.6,Lindstrom City,Mixed
Emptying,83.0,30.4,6.0,82.6,47.5,78.1,49.9,Rectangular,Recyclable
Emptying,71.4,46.2,8.0,85.8,51.6,95.4,60.2,Silvertop-a,Mixed
Non Emptying,36.0,33.6,1.0,66.8,33.2,66.2,56.4,Silvertop-a,Non Recyclable
Emptying,84.4,36.9,9.0,82.5,24.8,94.2,59.3,Malmobehallare,Non Recyclable
Emptying,62.1,65.1,6.0,64.4,25.7,63.8,22.2,Silvertop-a,Mixed
Non Emptying,61.6,34.3,2.0,78.2,55.6,78.3,37.1,Lindstrom-a,Mixed
Non Emptying,73.6,58.3,4.0,51.7,21.4,37.5,66.2,Malmobehallare,Mixed
Non Emptying,58.7,30.8,2.0,55.1,36.1,34.5,57.3,Silvertop-a,Non Recyclable
Emptying,84.0,50.1,6.0,94.8,64.2,77.0,31.6,Rectangular,Non Recyclable
Emptying,79.8,57.3,9.0,73.0,38.7,78.9,32.6,Lindstrom-a,Mixed
Non Emptying,74.8,57.0,3.0,59.1,56.8,50.1,62.1,Diamond,Mixed
Non Emptying,52.3,52.3,4.0,52.5,65.7,52.8,24.7,Accordion,Non Recyclable
Non Emptying,60.0,33.9,4.0,56.8,54.4,53.1,34.0,Lindstrom-b,Non Recyclable
Non Emptying,60.6,62.1,1.0,71.0,31.8,69.0,53.7,Lindstrom-b,Mixed
Non Emptying,71.8,24.9,4.0,70.1,35.4,57.5,23.0,Fiberglass Igloo-b,Mixed
Non Emptying,79.2,66.5,2.0,61.2,30.9,58.5,50.1,Lindstrom-b,Mixed
Emptying,74.5,24.4,6.0,99.9,51.7,76.4,30.1,Lindstrom-a,Mixed
Emptying,81.3,50.8,6.0,60.2,51.3,93.3,69.0,Accordion,Recyclable
Non Emptying,36.5,62.8,1.0,57.7,28.6,66.8,35.3,Accordion,Non Recyclable
Non Emptying,65.5,20.2,5.0,59.0,30.5,63.0,30.9,Malmobehallare,Non Recyclable
Non Emptying,63.4,55.9,3.0,71.4,33.8,60.0,50.4,BIM-3 FTI bottentomd,Mixed
Emptying,90.5,31.9,6.0,89.9,53.6,91.5,36.1,Fiberglass Igloo-a,Mixed
Non Emptying,71.2,31.5,5.0,69.8,26.4,60.0,61.3,Malmobehallare,Recyclable
Non Emptying,38.2,60.8,5.0,64.5,67.5,54.6,28.5,Rectangular Farmland,Mixed
Emptying,69.5,47.5,6.0,75.9,56.4,97.2,59.2,Diamond,Non Recyclable
Non Emptying,62.5,20.7,1.0,54.2,30.2,56.9,22.7,Accordion,Mixed
Non Emptying,52.6,53.0,5.0,52.9,37.4,53.9,68.7,Silvertop-b,Non Recyclable
Non Emptying,61.2,67.7,3.0,50.0,32.5,58.8,54.2,Rectangular,Mixed
